Investment Time	Company Name	Website	Business Area	Round	Investment $	Segment in MS	Azure(Y/N)	Ali(Y/N)	AWS(Y/N)	cloud service they use	url	agent
1-Jan-11	Social Touch????	www.social-touch.com	????	B?	???						http://www.social-touch.com	"Beijing Sankuai Technology Co.,Ltd."
1-Jan-09	Social Touch????	www.social-touch.com	????	A?	??????						http://www.social-touch.com	"Beijing Sankuai Technology Co.,Ltd."
12-Sep-13	??????	www.norelsys.com	??	A?	?????						http://www.norelsys.com	"Beijing Baidu Netcom Science and Technology Co., Ltd."
1-Sep-13	????	www.berrygenomics.com	????	B?	2500???						http://www.berrygenomics.com	"Aliyun Computing Co., LTD"
1-Sep-13	????	www.berrygenomics.com	????	B?	2500???						http://www.berrygenomics.com	"Aliyun Computing Co., LTD"
1-Aug-11	????	www.berrygenomics.com	????	A?	6000????						http://www.berrygenomics.com	"Aliyun Computing Co., LTD"
1-Aug-11	????	www.berrygenomics.com	????	A?	6000????						http://www.berrygenomics.com	"Aliyun Computing Co., LTD"
10-Apr-13	????Amarsoft	www.amarsoft.com	??	A?	??????						http://www.amarsoft.com	"ShangHai Telecom Science & Technology Development Co.,Ltd"
1-Apr-13	???-?????	www.xin.com	????	A?	3000???						http://www.xin.com	CHINANET Guangdong province network
1-Mar-13	Vida??	http://vida.fm/	????	A?	?????						http://vida.fm/	"GoDaddy.com, LLC"
1-Jan-13	PBA???-????	www.pba.cn	????	A?	5000????						http://www.pba.cn	CloudVsp.Inc
1-Jan-13	??????	www.dianjoy.com	????	A?	?????						http://www.dianjoy.com	"Beijing Sheng Hexuan Culture Communication Co., Ltd."
9-Dec-12	????-?????	www.howbuy.com/	??	A?	??????						http://www.howbuy.com/	CHINANET Guangdong province network
1-Oct-12	????	www.globaljoy.com	??	A?	????????						http://www.globaljoy.com	"Aliyun Computing Co., LTD"
1-Jul-12	YESA?????	www.yesa.cn/	????	A?	????????						http://www.yesa.cn/	"Science & Technology Network Communication Co., Ltd."
30-Jun-12	????	www.podinns.com	????	B?	5500???						http://www.podinns.com	"Internet Banking Internet Technology Co., Ltd. Hangzhou"
30-Jun-12	????	www.podinns.com	????	B?	5500???						http://www.podinns.com	"Internet Banking Internet Technology Co., Ltd. Hangzhou"
13-Jan-09	????	www.podinns.com	????	A?	?????						http://www.podinns.com	"Internet Banking Internet Technology Co., Ltd. Hangzhou"
13-Jan-09	????	www.podinns.com	????	A?	?????						http://www.podinns.com	"Internet Banking Internet Technology Co., Ltd. Hangzhou"
1-Mar-12	????iDreamSky????	www.idreamsky.com	??	B?	1000???						http://www.idreamsky.com	"Guangdong Aofei Data Technology Co., Ltd."
23-Jan-12	???	www.ishe.cn	????	A?	1000????						http://www.ishe.cn	ChinaNetCenter Ltd.
17-Jan-12	???(??)	www.ixingji.com/	????	A?	1000????						http://www.ixingji.com/	ChinaNetCenter Ltd.
13-Jan-12	ZAKER??	http://www.myzaker.com/index.html	????	B?	1000???						http://www.myzaker.com/index.html	China Unicom Liaoning province network
4-Jan-12	????LOCOJOY-??MT	www.locojoy.com	??	A?	500???						http://www.locojoy.com	"Beijing ShuJuJia Technology Co., Ltd."
24-Oct-11	????	http://www.tianshenhudong.com/	??	A?	??????						http://www.tianshenhudong.com/	"Aliyun Computing Co., LTD"
1-Oct-11	???	www.happyelements.cn/	??	B?	3000???						http://www.happyelements.cn/	"Tencent cloud computing (Beijing) Co., Ltd."
10-Aug-11	??????	http://23a300.atobo.com.cn/	??	A?	?????						http://23a300.atobo.com.cn/	China Unicom Hebei province network
1-Aug-11	Wiselinc????	http://www.wiselinc.com/	??	A?	?????						http://www.wiselinc.com/	Psychz Networks
18-Jun-11	Shopex????	http://www.shopex.cn/	????	B?	?????						http://www.shopex.cn/	"Science & Technology Network Communication Co., Ltd."
18-Jun-11	Shopex????	http://www.shopex.cn/	????	B?	?????						http://www.shopex.cn/	"Science & Technology Network Communication Co., Ltd."
1-Jan-10	Shopex????	www.shopex.cn/	????	A?	?????						http://www.shopex.cn/	"Science & Technology Network Communication Co., Ltd."
1-Jan-10	Shopex????	www.shopex.cn/	????	A?	?????						http://www.shopex.cn/	"Science & Technology Network Communication Co., Ltd."
26-May-11	???Evercare	www.evercarecn.com	????	A?	2????						http://www.evercarecn.com	Natural Resources Resserch institution of Heilongjiang Province
1-Feb-11	????	www.wanxue.cn	??	B?	2000???						http://www.wanxue.cn	"Beijing Baidu Netcom Science and Technology Co., Ltd."
1-Feb-08	????	www.wanxue.cn	??	A?	2000???						http://www.wanxue.cn	"Beijing Baidu Netcom Science and Technology Co., Ltd."
23-Dec-10	???	www.qigegee.com	????	A?	1????						http://www.qigegee.com	UNIT D 12/F SEABRIGHT PLAZA 9-23 SHELL ST NORTH POINT
1-Dec-10	???	www.dashi.com/	????	A?	??????						http://www.dashi.com/	Alibaba.com LLC
19-Nov-10	???	www.mbaobao.com	????	B?	1500???						http://www.mbaobao.com	"Aliyun Computing Co., LTD"
19-Nov-10	???	www.mbaobao.com	????	B?	1500???						http://www.mbaobao.com	"Aliyun Computing Co., LTD"
1-Apr-10	???	www.mbaobao.com	????	A?	4500???						http://www.mbaobao.com	"Aliyun Computing Co., LTD"
1-Apr-10	???	www.mbaobao.com	????	A?	4500???						http://www.mbaobao.com	"Aliyun Computing Co., LTD"
1-Apr-10	21Cake???	www.21cake.com/�	????	A?	??????						http://www.21cake.com/�	"Aliyun Computing Co., LTD"
1-Apr-10	???	https://www.damai.cn	????	B?	1????						https://www.damai.cn	ChinaNetCenter Ltd.
1-Jan-05	???	https://www.damai.cn	????	A?	3000????						https://www.damai.cn	ChinaNetCenter Ltd.
26-Feb-10	????	www.linglong.cn	????	A?	???						http://www.linglong.cn	"Linode, LLC"
1-Feb-10	???	www.leepet.com	????	B?	1000???						http://www.leepet.com	"Aliyun Computing Co., LTD"
1-Oct-08	???	www.leepet.com	????	A?	150???						http://www.leepet.com	"Aliyun Computing Co., LTD"
1-Feb-10	????Zhotels	www.zhotels.cn	????	A?	7500???						http://www.zhotels.cn	"Internet Banking Internet Technology Co., Ltd. Hangzhou"
1-Jan-09	????	www.nsfocus.com	????	B?	?????						http://www.nsfocus.com	Alibaba.com LLC
1-Oct-02	????	www.nsfocus.com	????	A?	298???						http://www.nsfocus.com	Alibaba.com LLC
1-Jan-09	???	www.mosh.cn/	????	A?	??????						http://www.mosh.cn/	"21ViaNet(China),Inc."
23-May-08	Careray	www.careray.com/	????	???	???						http://www.careray.com/	RM AÃÂÃÂ¯ÃÂÃÂ¼ÃÂÃÂ23/F COMM BLDG 145 HENNESSY RD HONG KONG
1-Sep-07	???	www.crystalcg.com	????	A?	??????						http://www.crystalcg.com	CHINANET Guangdong province network
3-Dec-06	????	www.tianya.cn	????	B?	?????						http://www.tianya.cn	CHINANET Hainan province network
1-Oct-06	??	www.amap.com	????	A?	4000???						http://www.amap.com	"Aliyun Computing Co., LTD"
1-Jul-05	????	www.zhaopin.com	????	C?	770???						http://www.zhaopin.com	"21ViaNet(China),Inc."
6-Jan-05	???	www.lakala.com/	??	???	1600????						http://www.lakala.com/	CHINANET SHANGHAI PROVINCE NETWORK
